<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,60,20151202,130000,321.0000000,322.5000000,320.0000000,321.0000000,143370
TATN,60,20151202,140000,321.2000000,321.6000000,320.3500000,320.7000000,59610
TATN,60,20151202,150000,320.6500000,320.8500000,319.2500000,319.6500000,129340
TATN,60,20151202,160000,319.7000000,319.8500000,318.3500000,319.3000000,144270
TATN,60,20151202,170000,319.3000000,319.5500000,317.5000000,317.5500000,157450
TATN,60,20151202,180000,317.5500000,322.9000000,317.5000000,320.1500000,629080
TATN,60,20151202,190000,320.3500000,323.1000000,318.9500000,321.5000000,390810
TATN,60,20151203,110000,320.7000000,321.0000000,319.2000000,320.7500000,121630
TATN,60,20151203,120000,320.9000000,321.4500000,319.4000000,319.6000000,109070
TATN,60,20151203,130000,319.7000000,320.2000000,318.0500000,319.2000000,207470
TATN,60,20151203,140000,319.6500000,319.8500000,318.0000000,318.6500000,166720
TATN,60,20151203,150000,318.7000000,320.3000000,317.6000000,319.6000000,82350
TATN,60,20151203,160000,319.6000000,319.6500000,315.6000000,316.3000000,254140
TATN,60,20151203,170000,316.5000000,319.0000000,316.1500000,317.2500000,132600
TATN,60,20151203,180000,317.3000000,317.7500000,316.2000000,317.2000000,84750
TATN,60,20151203,190000,317.0000000,318.8500000,316.5500000,316.9000000,200020
TATN,60,20151204,110000,317.5500000,318.9500000,316.2500000,316.7000000,73610
TATN,60,20151204,120000,316.9000000,317.8500000,316.1000000,317.1000000,98690
TATN,60,20151204,130000,316.7000000,318.7000000,316.1500000,317.3000000,124470
TATN,60,20151204,140000,317.3000000,318.2500000,315.3000000,315.5000000,168840
TATN,60,20151204,150000,315.5500000,316.4500000,314.3000000,315.3000000,149960
TATN,60,20151204,160000,315.2500000,315.4500000,312.3000000,312.7000000,205980
TATN,60,20151204,170000,312.8500000,313.7500000,310.0000000,310.8500000,342640
TATN,60,20151204,180000,310.8000000,311.6000000,305.2000000,305.6500000,1122440
TATN,60,20151204,190000,305.6500000,313.9000000,305.3000000,312.0000000,687020
TATN,60,20151207,110000,312.8500000,314.4000000,310.5500000,314.0000000,130850
TATN,60,20151207,120000,314.0000000,314.5000000,310.4000000,310.4000000,198300
TATN,60,20151207,130000,310.7000000,313.6000000,309.1000000,309.6000000,204800
TATN,60,20151207,140000,309.6000000,311.5000000,308.6500000,308.9500000,98410
TATN,60,20151207,150000,308.9500000,314.9500000,308.1000000,313.8500000,186210
TATN,60,20151207,160000,313.5500000,314.4500000,311.5000000,313.2500000,95460
TATN,60,20151207,170000,313.2500000,313.2500000,310.5000000,310.8500000,83450
TATN,60,20151207,180000,310.8500000,313.4500000,308.2000000,309.1000000,234490
TATN,60,20151207,190000,309.1000000,312.6500000,307.2000000,308.8000000,732250
TATN,60,20151208,110000,307.3500000,310.2000000,305.5500000,305.9000000,131320
TATN,60,20151208,120000,306.0000000,309.5000000,305.7000000,309.0000000,278110
TATN,60,20151208,130000,309.0000000,309.7000000,306.9000000,309.5000000,153910
TATN,60,20151208,140000,309.2000000,311.0000000,309.1500000,310.6000000,79040
TATN,60,20151208,150000,310.7000000,312.0000000,309.1500000,309.8500000,80270
TATN,60,20151208,160000,310.0000000,310.1000000,305.3000000,306.0500000,146740
